{'sampling_frequency': 9760, 'n_samples': 1000}
Time (s),Voltage (mV),Sync
0.010758196721311475,2125.038492679596,0
0.010860655737704918,2118.151009082794,0
0.010963114754098361,2094.786357879638,0
0.011065573770491803,2055.0365924835205,0
0.011168032786885246,1999.7518301010132,0
0.011270491803278689,1929.742455482483,0
0.011372950819672132,1846.2897419929502,0
0.011475409836065573,1750.8346796035764,0
0.011577868852459016,1645.0566530227659,0
0.01168032786885246,1530.81876039505,0
0.0117827868852459,1410.0435018539429,0
0.011885245901639344,1284.7470045089722,0
0.011987704918032787,1157.3049545288086,0
0.01209016393442623,1030.0238013267517,0
0.012192622950819671,904.9944162368773,0
0.012295081967213115,784.2876076698303,0
0.012397540983606558,669.9521541595459,0
0.0125,564.0911221504211,0
0.012602459016393442,468.4885382652282,0
0.012704918032786885,384.92646217346186,0
0.012807377049180328,314.858078956604,0
0.012909836065573771,259.38370227813715,0
0.013012295081967213,219.45179700851438,0
0.013114754098360656,195.74882984161377,0
0.013217213114754099,188.73152732849118,0
0.01331967213114754,198.58556985855103,0
0.013422131147540983,224.9683141708374,0
0.013524590163934426,267.65198707580566,0
0.01362704918032787,325.62360763549805,0
0.01372950819672131,398.09993505477905,0
0.013831967213114754,483.7741255760193,0
0.013934426229508197,581.187093257904,0
0.01403688524590164,688.5441899299622,0
0.014139344262295081,804.031491279602,0
0.014241803278688524,925.5801558494568,0
0.014344262295081968,1051.2625694274902,0
0.01444672131147541,1178.7561535835264,0
0.014549180327868852,1306.0251116752625,0
0.014651639344262295,1430.623733997345,0
0.014754098360655738,1550.2030849456787,0
0.01485655737704918,1663.082206249237,0
0.014959016393442623,1767.3417448997498,0
0.015061475409836066,1861.0328435897827,0
0.015163934426229509,1942.3620343208313,0
0.01526639344262295,2010.0515842437744,0
0.015368852459016393,2062.8745079040523,0
0.015471311475409836,2100.0031113624573,0
0.01557377049180328,2120.6100940704346,0
0.01567622950819672,2124.5707511901855,0
0.015778688524590165,2111.695075035095,0
0.015881147540983607,2082.3335766792293,0
0.015983606557377048,2036.8788599967957,0
0.016086065573770493,1976.1027574539182,0
0.016188524590163934,1901.0552287101746,0
0.016290983606557376,1812.969946861267,0
0.01639344262295082,1713.494038581848,0
0.016495901639344262,1604.4540166854856,0
0.016598360655737703,1487.6331210136414,0
0.016700819672131148,1365.035283565521,0
0.01680327868852459,1238.732099533081,0
0.016905737704918034,1111.0850930213926,0
0.017008196721311476,984.3487858772278,0
0.017110655737704917,860.5849385261535,0
0.01721311475409836,741.9898509979248,0
0.017315573770491803,630.5662751197815,0
